file_path,court_name_nominative,awol_start_date_iso,awol_end_date_iso,unit_location_mentioned,unit_location_text
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100057906.html,Володимир-Волинський міський суд Волинської області,2021-08-30,2021-09-03,false,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100060934.html,Первомайський міськрайонний суд Миколаївської області,2021-08-02,2021-08-03,true,"м. Первомайськ, Миколаївської обл"
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100061020.html,Білгород-Дністровський міськрайонний суд Одеської області,2021-08-28,,true,території військової частини НОМЕР_1 (25 прикордонний загін)
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100081476.html,Першотравневий районний суд міста Чернівці,2021-09-29,,false,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100081487.html,Першотравневий районний суд міста Чернівці,2021-09-27,2021-09-30,true,"військова частина НОМЕР_1, адреса АДРЕСА_3"
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100084707.html,Херсонський міський суд Херсонської області,2021-09-08,2021-09-10,false,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100102699.html,Солом'янський районний суд міста Києва,2021-09-02,,false,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100122475.html,Козелецький районний суд Чернігівської області,2021-09-20,2021-09-20,false,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100130251.html,Червоноградський міський суд Львівської області,2021-09-05,,true,"військова частина НОМЕР_1, за адресою АДРЕСА_2"
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100132742.html,Мар'їнський районний суд Донецької області,2021-09-18,2021-09-27,true,"м. Курахове, Донецької області"
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100137099.html,Сокальський районний суд Львівської області,2021-09-29,2021-09-29,true,місце дислокації прикордонної комендатури швидкого реагування
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100137625.html,Конотопський міськрайонний суд Сумської області,2021-09-13,2021-09-14,true,м. Конотоп
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100137940.html,Деснянський районний суд міста Чернігова,2021-08-09,2021-08-10,true,місце служби військової частини НОМЕР_1 в АДРЕСА_2
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100138512.html,Конотопський міськрайонний суд Сумської області,2021-10-04,2021-10-04,false,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100153818.html,Чугуївський міський суд Харківської області,2021-09-27,2021-09-30,false,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100156602.html,Житомирський апеляційний суд,,,true,м. Житомирі
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100158106.html,Красноармійський міськрайонний суд Донецької області,2021-08-02,2021-08-03,true,м. Покровська
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100159040.html,Шевченківський районний суд міста Запоріжжя,2021-09-28,2021-09-28,true,м. Запоріжжя
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100159043.html,Шевченківський районний суд міста Запоріжжя,2021-09-27,2021-09-29,true,АДРЕСА_1
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100159547.html,Яворівський районний суд Львівської області,,,false,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100162154.html,Житомирський районний суд Житомирської області,2021-09-27,2021-09-29,false,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100164917.html,Золотоніський міськрайонний суд Черкаської області,2021-09-30,,false,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100168023.html,Броварський міськрайонний суд Київської області,2021-10-04,,true,"військова частина НОМЕР_1, 2 радіорелейний батальйон"
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100172543.html,Миколаївський районний суд Миколаївської області,2021-09-10,,true,"с. Михайлівка, Миколаївський район, Миколаївська область"
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100172553.html,Миколаївський районний суд Миколаївської області,2021-09-13,2021-09-14,true,навчальний центр № НОМЕР_2 поблизу АДРЕСА_2
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100172554.html,Миколаївський районний суд Миколаївської області,2021-09-13,2021-09-14,true,"навчальний центр № НОМЕР_2, поблизу АДРЕСА_2"
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100172555.html,Миколаївський районний суд Миколаївської області,,,true,Військова частина НОМЕР_1
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100172556.html,Миколаївський районний суд Миколаївської області,,,true,Військова частина НОМЕР_1
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100172557.html,Миколаївський районний суд Миколаївської області,,,false,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100172558.html,Миколаївський районний суд Миколаївської області,2021-09-20,2021-09-23,true,розташування протитанкового артилерійського дивізіону військової частини НОМЕР_1 АДРЕСА_2
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100172651.html,Артемівський міськрайонний суд Донецької області,2021-10-05,2021-10-06,true,АДРЕСА_2
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100173239.html,Яворівський районний суд Львівської області,2021-07-15,,true,військова частина НОМЕР_1 (АДРЕСА_3)
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100184286.html,Дзержинський районний суд міста Харкова,2021-10-04,2021-10-05,false,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100190984.html,Первомайський міськрайонний суд Миколаївської області,2021-09-03,2021-09-08,true,"території військової частини НОМЕР_1, АДРЕСА_3"
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100191317.html,Сумський районний суд Сумської області,2021-10-05,2021-10-06,true,"пункт постійної дислокації, АДРЕСА_1"
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100191329.html,Сумський районний суд Сумської області,2021-09-30,2021-10-01,true,"м. Суми, Сумська область"
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100195306.html,Солом'янський районний суд міста Києва,2021-09-30,,false,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100196052.html,Чернігівський районний суд Чернігівської області,,,false,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100198419.html,Білгород-Дністровський міськрайонний суд Одеської області,2021-09-27,2021-09-28,false,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100198469.html,Біляївський районний суд Одеської області,2021-08-13,2021-08-14,true,"на території військової частини НОМЕР_1, АДРЕСА_2"
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100199924.html,Шепетівський міськрайонний суд Хмельницької області,2021-09-16,2021-09-17,false,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100200550.html,Васильківський міськрайонний суд Київської області,2021-09-18,,false,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100201048.html,Кодимський районний суд Одеської області,2021-10-04,,false,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100201507.html,Франківський районний суд міста Львова,2021-09-23,2021-09-27,false,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100203454.html,Гайсинський районний суд Вінницької області,2021-10-05,2021-10-07,false,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100204158.html,Чугуївський міський суд Харківської області,2021-09-29,2021-10-04,true,за адресою АДРЕСА_2
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100209606.html,Червоноградський міський суд Львівської області,2021-09-13,,true,"військова частина НОМЕР_1, що по АДРЕСА_1"
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100225392.html,Миколаївський районний суд Миколаївської області,2021-09-25,2021-10-03,false,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100225828.html,Херсонський районний суд Херсонської області,2021-10-04,2021-10-04,false,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100226693.html,Біляївський районний суд Одеської області,2021-10-04,2021-10-04,false,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100234891.html,Цюрупинський районний суд Херсонської області,2021-09-21,2021-09-26,false,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100236891.html,Чугуївський міський суд Харківської області,2021-09-27,2021-09-28,false,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100253009.html,Житомирський апеляційний суд,2021-08-09,2021-08-26,true,"в/ч НОМЕР_1, розташована по АДРЕСА_1"
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100255041.html,Камʼянець-Подільський міськрайонний суд Хмельницької області,2021-08-31,2021-08-31,false,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100259746.html,Новомосковський міськрайонний суд Дніпропетровської області,2021-08-26,2021-08-28,true,розташованій за адресою: АДРЕСА_2
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100263248.html,Козелецький районний суд Чернігівської області,2021-09-20,2021-09-21,true,"військова частина НОМЕР_1, АДРЕСА_3"
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100267322.html,Новоайдарський районний суд Луганської області,2021-10-02,2021-10-02,true,"с. Кряківка, Щастинського (Новоайдарського) району, Луганської області"
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100267323.html,Новоайдарський районний суд Луганської області,2021-10-02,2021-10-02,true,с. Кряківка Щастинського (Новоайдарського) району Луганської області
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100272876.html,Жовтневий районний суд міста Харкова,2021-10-04,,false,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100273449.html,Чугуївський міський суд Харківської області,2021-09-22,2021-09-23,true,військової частини НОМЕР_1
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100283094.html,Конотопський міськрайонний суд Сумської області,2021-09-21,2021-09-23,true,АДРЕСА_1
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100283814.html,Новозаводський районний суд міста Чернігова,2021-09-09,,true,"Новозаводський район Чернігова, Чернігівська область"
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100288486.html,Київський районний суд міста Полтави,2021-09-14,2021-09-15,true,"м. Новоград-Волинський, Житомирської області"
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100293058.html,Богунський районний суд міста Житомира,2021-10-01,2021-10-07,true,АДРЕСА_2
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100296330.html,Краматорський міський суд,2021-09-03,2021-09-03,false,
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100299692.html,Цюрупинський районний суд Херсонської області,2021-09-14,,true,на території НОМЕР_3 АДРЕСА_2
D:\Projects\GitRepositories\TheAWOLthing\AWOL_Research\data\awol_court\data\awol_adm\awol_adm\100300541.html,Приморський районний суд міста Одеси,,,false,
