file,year,end_month,start_month_assumed,art407_cum,art408_cum,label_row115_BtoG,label115_mentions_407,label_row116_BtoG,label116_mentions_408,sheet7_title,title_sanity_ok,error
0Forma_1_gruden_2023.xlsx,2023,12,1,16316,7755,"Самовільне залишення військової частини або місця служби, ст.407",True,"Дезертирство, ст.408",True,"Розділ 6. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Державним бюро розслідувань",False,
0Forma_1_kviten_2022.xlsx,2022,4,1,710,845,"Самовільне залишення військової частини або місця служби, ст.407",True,"Дезертирство, ст.408",True,"Розділ 6. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Державним бюро розслідувань",False,
1Pro_kriminalnalni_pravoporushennja_za_sichen_-_berezen_2023_roku.xlsx,2023,3,1,2667,1260,"Самовільне залишення військової частини або місця служби, ст.407",True,"Дезертирство, ст.408",True,"Розділ 6. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Державним бюро розслідувань",False,
Forma_1_berezen_2022.xlsx,2022,3,1,504,525,"Самовільне залишення військової частини або місця служби, ст.407",True,"Дезертирство, ст.408",True,"Розділ 6. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Державним бюро розслідувань",False,
Forma_1_cherven_2022.xlsx,2022,6,1,1321,1289,"Самовільне залишення військової частини або місця служби, ст.407",True,"Дезертирство, ст.408",True,"Розділ 6. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Державним бюро розслідувань",False,
Forma_1_cherven_2025.xlsx,2025,6,1,92606,13237,"Самовільне залишення військової частини або місця служби, ст.407",True,"Дезертирство, ст.408",True,"Розділ 6. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Державним бюро розслідувань",False,
forma_1_gruden_2019.xlsx,,12,1,,,,False,,False,"Розділ 4. Кримінальні правопорушення, досудове розслідування у яких здійснюється органами Національної поліції",False,
forma_1_gruden_2020.xlsx,2020,12,1,2878,215,"Самовільне залишення військової частини або місця служби, ст.407",True,"Дезертирство, ст.408",True,"Розділ 6. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Державним бюро розслідувань",False,
Forma_1_gruden_2021.xlsx,2021,12,1,2006,114,"Самовільне залишення військової частини або місця служби, ст.407",True,"Дезертирство, ст.408",True,"Розділ 6. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Державним бюро розслідувань",False,
Forma_1_gruden_2022 (1).xlsx,2022,12,1,6174,3197,"Самовільне залишення військової частини або місця служби, ст.407",True,"Дезертирство, ст.408",True,"Розділ 6. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Державним бюро розслідувань",False,
Forma_1_gruden_2022.xlsx,2022,12,1,6174,3197,"Самовільне залишення військової частини або місця служби, ст.407",True,"Дезертирство, ст.408",True,"Розділ 6. Кримінальні правопорушення у провадженнях, досудове розслідування у яких здійснюється Державним бюро розслідувань",False,
