№ рішення,Форма судового рішення,Дата ухвалення рішення,Дата набрання законної сили,Форма судочинства,№ судової справи,Назва суду,Суддя,Посилання
129831103,Вирок,29.08.2025,,Кримінальне,127/24559/25,Вінницький міський суд Вінницької області,,/Review/129831103
129830947,Вирок,29.08.2025,,Кримінальне,147/699/25,Тростянецький районний суд Вінницької області,,/Review/129830947
129806849,Вирок,28.08.2025,,Кримінальне,945/1953/23,Миколаївський районний суд Миколаївської області,,/Review/129806849
129807058,Вирок,28.08.2025,,Кримінальне,591/7484/25,Зарічний районний суд м. Сум,,/Review/129807058
129777573,Вирок,27.08.2025,,Кримінальне,469/10/25,Березанський районний суд Миколаївської області,,/Review/129777573
129775616,Вирок,27.08.2025,,Кримінальне,127/24030/25,Вінницький міський суд Вінницької області,,/Review/129775616
129779400,Вирок,27.08.2025,,Кримінальне,689/1428/25,Ярмолинецький районний суд Хмельницької області,,/Review/129779400
129782927,Вирок,27.08.2025,,Кримінальне,703/5341/25,Смілянський міськрайонний суд Черкаської області,,/Review/129782927
129745269,Вирок,26.08.2025,,Кримінальне,147/893/25,Тростянецький районний суд Вінницької області,,/Review/129745269
129750071,Вирок,26.08.2025,,Кримінальне,273/1252/25,Баранівський районний суд Житомирської області,,/Review/129750071
129750072,Вирок,26.08.2025,,Кримінальне,273/1252/25,Баранівський районний суд Житомирської області,,/Review/129750072
129751645,Вирок,26.08.2025,,Кримінальне,569/6898/25,Рівненський міський суд Рівненської області,,/Review/129751645
129767590,Вирок,26.08.2025,,Кримінальне,285/6416/24,Звягельський міськрайонний суд Житомирської області,,/Review/129767590
129782866,Вирок,26.08.2025,,Кримінальне,711/4687/24,Придніпровський районний суд м. Черкас,,/Review/129782866
129722561,Вирок,25.08.2025,,Кримінальне,711/5307/24,Придніпровський районний суд м. Черкас,,/Review/129722561
129762937,Вирок,25.08.2025,,Кримінальне,712/8627/25,Соснівський районний суд м. Черкаси,,/Review/129762937
129688475,Вирок,22.08.2025,,Кримінальне,127/20537/25,Вінницький міський суд Вінницької області,,/Review/129688475
129686480,Вирок,22.08.2025,,Кримінальне,646/3798/25,Основ’янський районний суд міста Харкова,,/Review/129686480
129657043,Вирок,21.08.2025,,Кримінальне,274/1433/25,Коростенський міськрайонний суд Житомирської області,,/Review/129657043
129692844,Вирок,21.08.2025,,Кримінальне,751/3731/25,Новозаводський районний суд м. Чернігова,,/Review/129692844
129688464,Вирок,21.08.2025,,Кримінальне,127/24522/25,Вінницький міський суд Вінницької області,,/Review/129688464
129684411,Вирок,21.08.2025,,Кримінальне,754/10864/25,Деснянський районний суд міста Києва,,/Review/129684411
129634634,Вирок,20.08.2025,,Кримінальне,484/3515/25,Первомайський міськрайонний суд Миколаївської області,,/Review/129634634
129705948,Вирок,20.08.2025,,Кримінальне,484/3892/25,Первомайський міськрайонний суд Миколаївської області,,/Review/129705948
129607087,Вирок,19.08.2025,,Кримінальне,635/5055/25,Харківський районний суд Харківської області,,/Review/129607087
129581504,Вирок,18.08.2025,,Кримінальне,490/6225/25,Центральний районний суд м. Миколаєва,,/Review/129581504
129582752,Вирок,18.08.2025,,Кримінальне,273/1041/25,Баранівський районний суд Житомирської області,,/Review/129582752
129582781,Вирок,18.08.2025,,Кримінальне,273/1041/25,Баранівський районний суд Житомирської області,,/Review/129582781
129544088,Вирок,15.08.2025,,Кримінальне,750/8993/25,Деснянський районний суд м. Чернігова,,/Review/129544088
129552973,Вирок,15.08.2025,,Кримінальне,583/1611/25,Охтирський міськрайонний суд Сумської області,,/Review/129552973
129527904,Вирок,14.08.2025,,Кримінальне,592/6049/25,Зарічний районний суд м. Сум,,/Review/129527904
129485950,Вирок,13.08.2025,,Кримінальне,944/2023/25,Яворівський районний суд Львівської області,,/Review/129485950
129497316,Вирок,13.08.2025,,Кримінальне,303/2145/24,Мукачівський міськрайонний суд Закарпатської області,,/Review/129497316
129456584,Вирок,12.08.2025,,Кримінальне,591/8665/25,Зарічний районний суд м. Сум,,/Review/129456584
129499490,Вирок,12.08.2025,,Кримінальне,740/2621/25,Ніжинський міськрайонний суд Чернігівської області,,/Review/129499490
129541143,Вирок,12.08.2025,,Кримінальне,149/2415/25,Калинівський районний суд Вінницької області,,/Review/129541143
129428988,Вирок,11.08.2025,,Кримінальне,939/3334/24,Бородянський районний суд Київської області,,/Review/129428988
129431468,Вирок,11.08.2025,,Кримінальне,147/1107/25,Тростянецький районний суд Вінницької області,,/Review/129431468
129439260,Вирок,11.08.2025,,Кримінальне,939/219/25,Бородянський районний суд Київської області,,/Review/129439260
129394734,Вирок,08.08.2025,,Кримінальне,216/801/25,Центрально-Міський районний суд м. Кривого Рогу,,/Review/129394734
129367684,Вирок,07.08.2025,,Кримінальне,748/2562/25,Чернігівський районний суд Чернігівської області,,/Review/129367684
129368728,Вирок,07.08.2025,,Кримінальне,183/6151/25,Самарівський міськрайонний суд Дніпропетровської області,,/Review/129368728
129366479,Вирок,07.08.2025,,Кримінальне,748/2287/25,Чернігівський районний суд Чернігівської області,,/Review/129366479
129387695,Вирок,07.08.2025,,Кримінальне,154/4505/24,Володимирський міський суд Волинської області,,/Review/129387695
129550590,Вирок,07.08.2025,,Кримінальне,221/2720/21,Чечелівський районний суд міста Дніпра,,/Review/129550590
129335084,Вирок,06.08.2025,,Кримінальне,487/4958/25,Заводський районний суд м. Миколаєва,,/Review/129335084
129314559,Вирок,05.08.2025,,Кримінальне,638/14071/25,Шевченківський районний суд міста Харкова,,/Review/129314559
129314921,Вирок,05.08.2025,,Кримінальне,147/1117/25,Тростянецький районний суд Вінницької області,,/Review/129314921
129318838,Вирок,05.08.2025,,Кримінальне,591/8667/25,Зарічний районний суд м. Сум,,/Review/129318838
129336224,Вирок,05.08.2025,,Кримінальне,465/8549/24,Франківський районний суд м. Львова,,/Review/129336224
